episode_id,scene,seed,method,budget,eligible_instances,recalled_instances,absolute_tcobr,mean_critical_region_psnr_db,mean_eligible_boundary_psnr_db,mean_critical_tile_payload_bytes,mean_critical_boundary_high_quality_coverage
m6a_v3_formal_s5_seed630503,S5,630503,state_only_risk_roi,low,1,1,1.0,35.35957556434397,25.400563811896262,15770.0,0.0
m6a_v3_formal_s5_seed630503,S5,630503,state_only_risk_roi,medium,1,1,1.0,40.608129049269486,28.901209655390225,16107.0,0.0
m6a_v3_formal_s5_seed630503,S5,630503,state_only_risk_roi,severe,1,1,1.0,28.148074947606936,18.89287952078886,15506.0,0.0
m6a_v3_formal_s6_seed630600,S6,630600,command_conditioned_risk_roi,high,1,1,1.0,33.804966002447976,44.25690534529181,6106.0,1.0
m6a_v3_formal_s6_seed630600,S6,630600,command_conditioned_risk_roi,low,1,1,1.0,27.743198670610138,26.594483958656944,5476.0,1.0
m6a_v3_formal_s6_seed630600,S6,630600,command_conditioned_risk_roi,medium,1,1,1.0,28.614400350702848,31.69627684381723,5669.0,1.0
m6a_v3_formal_s6_seed630600,S6,630600,command_conditioned_risk_roi,severe,1,1,1.0,20.806999387131064,20.23245914375963,5217.0,1.0
m6a_v3_formal_s6_seed630600,S6,630600,state_only_risk_roi,high,1,1,1.0,33.804966002447976,44.25690534529181,6106.0,1.0
m6a_v3_formal_s6_seed630600,S6,630600,state_only_risk_roi,low,1,1,1.0,27.743198670610138,26.594483958656944,5476.0,1.0
m6a_v3_formal_s6_seed630600,S6,630600,state_only_risk_roi,medium,1,1,1.0,28.614400350702848,31.69627684381723,5669.0,1.0
m6a_v3_formal_s6_seed630600,S6,630600,state_only_risk_roi,severe,1,1,1.0,20.806999387131064,20.23245914375963,5217.0,1.0
m6a_v3_formal_s6_seed630601,S6,630601,command_conditioned_risk_roi,high,1,1,1.0,30.843949605709398,44.31227172089328,6157.0,1.0
m6a_v3_formal_s6_seed630601,S6,630601,command_conditioned_risk_roi,low,1,1,1.0,25.273679464008396,29.893690713850077,5505.0,1.0
m6a_v3_formal_s6_seed630601,S6,630601,command_conditioned_risk_roi,medium,1,1,1.0,28.21319172207733,32.62481449358677,5715.0,1.0
m6a_v3_formal_s6_seed630601,S6,630601,command_conditioned_risk_roi,severe,1,1,1.0,21.827743071214442,22.648212636607724,5212.0,1.0
m6a_v3_formal_s6_seed630601,S6,630601,state_only_risk_roi,high,1,1,1.0,30.843949605709398,44.31227172089328,6157.0,1.0
m6a_v3_formal_s6_seed630601,S6,630601,state_only_risk_roi,low,1,1,1.0,25.273679464008396,29.893690713850077,5505.0,1.0
m6a_v3_formal_s6_seed630601,S6,630601,state_only_risk_roi,medium,1,1,1.0,28.21319172207733,32.62481449358677,5715.0,1.0
m6a_v3_formal_s6_seed630601,S6,630601,state_only_risk_roi,severe,1,1,1.0,21.827743071214442,22.648212636607724,5212.0,1.0
m6a_v3_formal_s6_seed630602,S6,630602,command_conditioned_risk_roi,high,1,1,1.0,34.30489909366844,44.75533531378167,5952.0,1.0
m6a_v3_formal_s6_seed630602,S6,630602,command_conditioned_risk_roi,low,1,1,1.0,28.909892950095376,25.45373558875462,5444.0,1.0
m6a_v3_formal_s6_seed630602,S6,630602,command_conditioned_risk_roi,medium,1,1,1.0,34.08116634693944,30.514953900001696,5595.0,1.0
m6a_v3_formal_s6_seed630602,S6,630602,command_conditioned_risk_roi,severe,1,1,1.0,22.927691199050212,19.548281853916407,5210.0,1.0
m6a_v3_formal_s6_seed630602,S6,630602,state_only_risk_roi,high,1,1,1.0,34.30489909366844,44.75533531378167,5952.0,1.0
m6a_v3_formal_s6_seed630602,S6,630602,state_only_risk_roi,low,1,1,1.0,28.909892950095376,25.45373558875462,5444.0,1.0
m6a_v3_formal_s6_seed630602,S6,630602,state_only_risk_roi,medium,1,1,1.0,34.08116634693944,30.514953900001696,5595.0,1.0
m6a_v3_formal_s6_seed630602,S6,630602,state_only_risk_roi,severe,1,1,1.0,22.927691199050212,19.548281853916407,5210.0,1.0
m6a_v3_formal_s6_seed630603,S6,630603,command_conditioned_risk_roi,high,1,1,1.0,34.41211748168406,42.55730104509429,6054.0,1.0
m6a_v3_formal_s6_seed630603,S6,630603,command_conditioned_risk_roi,low,1,1,1.0,28.289661894927463,26.938436030840805,5474.0,1.0
m6a_v3_formal_s6_seed630603,S6,630603,command_conditioned_risk_roi,medium,1,1,1.0,31.490216636422357,32.40309745641936,5668.0,1.0
m6a_v3_formal_s6_seed630603,S6,630603,command_conditioned_risk_roi,severe,1,1,1.0,23.89204663220636,23.282855284692165,5210.0,1.0
m6a_v3_formal_s6_seed630603,S6,630603,state_only_risk_roi,high,1,1,1.0,34.41211748168406,42.55730104509429,6054.0,1.0
m6a_v3_formal_s6_seed630603,S6,630603,state_only_risk_roi,low,1,1,1.0,28.289661894927463,26.938436030840805,5474.0,1.0
m6a_v3_formal_s6_seed630603,S6,630603,state_only_risk_roi,medium,1,1,1.0,31.490216636422357,32.40309745641936,5668.0,1.0
m6a_v3_formal_s6_seed630603,S6,630603,state_only_risk_roi,severe,1,1,1.0,23.89204663220636,23.282855284692165,5210.0,1.0
m6a_v3_formal_s7_seed630700,S7,630700,command_conditioned_risk_roi,high,0,0,,45.63683342623064,,17827.0,0.0
m6a_v3_formal_s7_seed630700,S7,630700,command_conditioned_risk_roi,low,0,0,,43.30260292667218,,17682.5,0.0
m6a_v3_formal_s7_seed630700,S7,630700,command_conditioned_risk_roi,medium,0,0,,45.63683342623064,,17827.0,0.0
m6a_v3_formal_s7_seed630700,S7,630700,command_conditioned_risk_roi,severe,0,0,,30.566256317515432,,17384.5,0.0
